 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
8080,71826,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4747.58444,97.45774511,11971.0,28302.65973,69740,38,71826,23942.0,40816.32322,71071,38,70341,35170.5,48888.65574,69740,601,0,0,0,0,92,72,55.69014006,41.76760505,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot
80,68115473,203,104,48985,183692,585,0,241.3054187,253.3691693,1869,0,1766.269231,309.6275317,3415.919904,4.507052311,222599.585,424291.7127,3808060,4,68100000,337186.9554,484093.6904,3808060,845,68100000,661314.3301,500410.9814,3808906,4,0,0,0,0,6504,3336,2.980233287,1.526819024,0,1869,755.4448052,772.7807356,597190.0653,0,0,0,1,0,0,0,0,0,757.9055375,241.3054187,1766.269231,6504,0,0,0,0,0,0,203,48985,104,183692,29200,1150,101,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,5238548,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.763570363,1746182.667,3023702.892,5237654,94,5238548,2619274.0,3702948.507,5237654,894,0,0.0,0.0,0,0,0,0,0,0,104,40,0.572677773,0.190892591,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
19283,59,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,101694.9153,33898.30508,59.0,0.0,59,59,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,16949.15254,16949.15254,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,11077831,6,4,1212,3525,606,0,202.0,312.9370544,3525,0,881.25,1762.5,427.6107841,0.902703787,1230870.111,2394808.319,5871847,81,6078207,1215641.4,2605279.596,5873453,258,11100000,3692583.333,3051926.593,5871847,204543,0,0,0,0,200,136,0.541622272,0.361081515,0,3525,430.6363636,1054.522287,1112017.255,0,0,0,1,0,0,0,0,0,473.7,202.0,881.25,200,0,0,0,0,0,0,6,1212,4,3525,29200,236,2,32,204624.0,0.0,204624,204624,5871847.0,0.0,5871847,5871847,DoS GoldenEye
5811,55,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,145454.5455,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,18181.81818,18181.81818,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
8088,16,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,375000.0,125000.0,16.0,0.0,16,16,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,62500.0,62500.0,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,100506689,7,7,660,11595,321,0,94.28571429,154.8985843,5792,0,1656.428571,2120.732252,121.932183,0.139294212,7731283.769,27800000.0,100000000,1,100000000,16700000.0,40900000.0,100000000,1,101000000,16800000.0,40900000.0,100000000,45,0,0,0,0,196,232,0.069647106,0.069647106,0,5792,817.4,1611.906715,2598243.257,1,0,0,0,0,0,0,0,1,875.7857143,94.28571429,1656.428571,196,0,0,0,0,0,0,7,660,7,11595,0,235,4,20,11008.0,0.0,11008,11008,100000000.0,0.0,100000000,100000000,DoS Hulk
80,102662659,14,3,2541,6,231,0,181.5,98.36333745,6,0,2.0,3.464101615,24.80941001,0.16559088,6416416.188,13200000.0,51300000,49,103000000,7897120.923,14400000.0,51300000,49,103000000,51300000.0,28200000.0,71300000,31400000,0,0,0,0,456,100,0.13636896,0.02922192,0,231,141.5,115.4547276,13329.79412,0,0,0,1,0,0,0,0,0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3204128.5,4530192.024,6407458,799,19300000.0,18800000.0,51300000,5701932,DoS slowloris
80,99574195,6,7,431,11595,413,0,71.83333333,167.1626952,5792,0,1656.428571,2120.732252,120.7742628,0.130555914,8297849.583,28700000.0,99400000,1,99400000,19900000.0,44400000.0,99400000,1,99600000,16600000.0,40600000.0,99400000,14,0,0,0,0,164,232,0.060256576,0.070299338,0,5792,859.4285714,1664.594879,2770876.11,1,0,0,0,0,0,0,0,1,925.5384615,71.83333333,1656.428571,164,0,0,0,0,0,0,6,431,7,11595,0,235,3,20,12990.0,0.0,12990,12990,99400000.0,0.0,99400000,99400000,DoS Hulk
2005,14,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,428571.4286,142857.1429,14.0,0.0,14,14,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,71428.57143,71428.57143,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,11888788,5,5,455,3525,455,0,91.0,203.482186,2077,0,705.0,990.6447396,334.769196,0.841128633,1320976.444,2661272.629,6884084,3,6891475,1722868.75,3444877.515,6890185,3,11900000,2972181.5,3516011.131,6884084,192,0,0,0,0,168,168,0.420564317,0.420564317,0,2077,361.8181818,719.5569217,517762.1636,0,0,0,1,0,0,0,0,1,398.0,91.0,705.0,168,0,0,0,0,0,0,5,455,5,3525,29200,235,1,32,1329.0,0.0,1329,1329,6884084.0,0.0,6884084,6884084,DoS GoldenEye
22,12568244,21,31,2008,2745,640,0,95.61904762,140.0451628,976,0,88.5483871,223.315,378.1753441,4.137411718,246436.1569,641847.5565,2196787,4,10700000,534636.2,926844.8005,2263985,960,12600000,418935.4333,797484.7256,2196787,4,0,0,0,0,680,1000,1.670877809,2.466533909,0,976,89.67924528,191.0076291,36483.91437,0,0,0,1,0,0,0,0,1,91.40384615,95.61904762,88.5483871,680,0,0,0,0,0,0,21,2008,31,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,37,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,54054.05405,37.0,0.0,37,37,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,27027.02703,27027.02703,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,28,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,71428.57143,28.0,0.0,28,28,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,35714.28571,35714.28571,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
80,63103633,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.110928637,10500000.0,11900000.0,32100000,996268,63100000,10500000.0,11900000.0,32100000,996268,0,0.0,0.0,0,0,0,0,0,0,280,0,0.110928637,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7008222.0,0.0,7008222,7008222,18700000.0,12200000.0,32100000,8015923,DoS Slowhttptest
80,100575762,2,1,418,6,418,0,209.0,295.5706345,6,6,6.0,0.0,4.215727443,0.02982826,50300000.0,71100000.0,101000000,49,101000000,101000000.0,0.0,101000000,101000000,0,0.0,0.0,0,0,0,0,0,0,64,20,0.019885507,0.009942753,0,418,106.0,208.0192299,43272.0,0,0,0,0,1,0,0,0,0,141.3333333,209.0,6.0,64,0,0,0,0,0,0,2,418,1,6,284,0,1,32,0.0,0.0,0,0,101000000.0,0.0,101000000,101000000,DoS GoldenEye
80,403143,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,28840.88276,19.84407518,57591.85714,149968.5387,397667,41,5091,2545.5,3137.432788,4764,327,403060,100765.0,197948.0183,397667,160,0,0,0,0,72,112,7.441528192,12.40254699,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,102573460,14,3,2541,6,231,0,181.5,98.36333745,6,0,2.0,3.464101615,24.83098455,0.165734879,6410841.25,13200000.0,51300000,74,103000000,7890257.231,14300000.0,51300000,274,103000000,51300000.0,28100000.0,71200000,31400000,0,0,0,0,456,100,0.136487548,0.029247332,0,231,141.5,115.4547276,13329.79412,0,0,0,1,0,0,0,0,0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3207446.0,4535258.444,6414358,534,19200000.0,18800000.0,51300000,5776227,DoS slowloris
80,85747081,7,6,301,11595,301,0,43.0,113.7673064,5792,0,1932.5,2181.008184,138.7335856,0.151608659,7145590.083,24700000.0,85600000,0,85600000,14300000.0,34900000.0,85600000,0,173426,34685.2,67800.72513,155175,17,0,0,0,0,232,200,0.081635432,0.069973227,0,5792,849.7142857,1668.110881,2782593.912,0,0,0,0,1,0,0,0,0,915.0769231,43.0,1932.5,232,0,0,0,0,0,0,7,301,6,11595,251,235,1,32,5.0,0.0,5,5,85600000.0,0.0,85600000,85600000,DoS Hulk
80,5978828,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.669027441,1992942.667,3451244.899,5978097,123,5978828,2989414.0,4226636.032,5978097,731,0,0.0,0.0,0,0,0,0,0,0,104,40,0.501770581,0.16725686,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
80,36694,3,5,26,11607,20,0,8.666666667,10.26320288,8675,0,2321.4,3769.536019,317027.3069,218.0192947,5242.0,13486.9564,35826,4,595,297.5,234.0523446,463,132,36650,9162.5,17777.67172,35826,4,0,0,0,0,72,112,81.75723552,136.2620592,0,8675,1292.555556,2931.429562,8593279.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
3737,50,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,160000.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,20000.0,20000.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,102999908,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.019417493,103000000.0,0.0,103000000,103000000,103000000,103000000.0,0.0,103000000,103000000,0,0.0,0.0,0,0,0,0,0,0,64,0,0.019417493,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,410,-1,0,32,0.0,0.0,0,0,103000000.0,0.0,103000000,103000000,DoS GoldenEye
1296,13,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,461538.4615,153846.1538,13.0,0.0,13,13,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,76923.07692,76923.07692,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,42376,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,274377.0059,212.3843685,5297.0,9734.033329,23948,14,24076,12038.0,16953.59219,24026,50,42298,8459.6,11698.38452,24313,14,0,0,0,0,72,132,70.7947895,141.589579,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
21,9112154,9,15,108,188,23,0,12.0,9.656603958,34,0,12.53333333,14.54975045,32.48408664,2.633844863,396180.6087,1018504.461,3196570,3,5993533,749191.625,1360741.8,3238062,225,9112054,650861.0,1255800.334,3196570,3,0,0,0,0,296,488,0.987691823,1.646153039,0,34,11.84,12.67767066,160.7233333,0,0,0,1,0,0,0,0,1,12.33333333,12.0,12.53333333,296,0,0,0,0,0,0,9,108,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
22,11843513,23,32,2008,2745,640,0,87.30434783,136.3399611,976,0,85.78125,220.240592,401.3167377,4.643892399,219324.3148,605851.074,2456270,3,9343711,424714.1364,792318.8436,2064238,346,11800000,382044.7742,764431.2319,2456270,3,0,0,0,0,744,1032,1.941991367,2.701901032,0,976,84.875,186.8396554,34909.05682,0,0,0,1,0,0,0,0,1,86.41818182,87.30434783,85.78125,744,0,0,0,0,0,0,23,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
8080,1029502,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,17.48418167,5.828060557,205900.4,281051.2022,515030,512,1028990,514495.0,1583.91919,515615,513375,1028647,514323.5,1723.219226,515542,513105,0,0,0,0,92,60,2.914030279,2.914030279,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,Bot
22,67,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29850.74627,67.0,0.0,67,67,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14925.37313,14925.37313,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
2105,63,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,95238.09524,31746.03175,63.0,0.0,63,63,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,15873.01587,15873.01587,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,1049886,3,5,26,11607,20,0,8.666666667,10.26320288,8675,0,2321.4,3769.536019,11080.25062,7.61987492,149983.7143,396353.9878,1048830,4,758,379.0,214.9604615,531,227,1049843,262460.75,524246.3056,1048830,4,0,0,0,0,72,112,2.857453095,4.762421825,0,8675,1292.555556,2931.429562,8593279.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,30,1,1,8,0,8,8,8.0,0.0,0,0,0.0,0.0,266666.6667,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,32,32,33333.33333,33333.33333,0,8,5.333333333,4.618802154,21.33333333,0,1,0,0,1,0,0,0,1,8.0,8.0,0.0,32,0,0,0,0,0,0,1,8,1,0,229,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
80,2,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0,0,0,64,0,1000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
80,59163120,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.033804843,59200000.0,0.0,59200000,59200000,59200000,59200000.0,0.0,59200000,59200000,0,0.0,0.0,0,0,0,0,0,0,64,0,0.033804843,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,284,-1,0,32,0.0,0.0,0,0,59200000.0,0.0,59200000,59200000,DoS GoldenEye
22,11497130,22,32,2008,2745,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,413.40752,4.696824338,216926.9811,591886.9267,2352236,3,9603295,457299.7619,832617.8466,2402439,451,11500000,370873.2258,740533.3004,2352236,3,0,0,0,0,712,1032,1.913521027,2.783303311,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,91.27272727,85.78125,712,0,0,0,0,0,0,22,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,11863429,22,33,2008,2745,640,0,91.27272727,138.1821372,976,0,83.18181818,217.2857356,400.6430181,4.63609636,219693.1296,613406.1937,2672007,17,9991289,475775.6667,881244.5768,2716923,436,11900000,370730.6563,765295.8615,2672007,47,0,0,0,0,712,1064,1.854438544,2.781657816,0,976,84.875,186.8396554,34909.05682,0,0,0,1,0,0,0,0,1,86.41818182,91.27272727,83.18181818,712,0,0,0,0,0,0,22,2008,33,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
80,85217692,9,5,305,11595,293,0,33.88888889,97.20139459,8688,0,2319.0,3774.237539,139.6423644,0.164285135,6555207.077,23600000.0,85100000,1,85100000,10600000.0,30100000.0,85100000,1,155029,38757.25,67955.87616,140230,190,0,0,0,0,272,168,0.105611872,0.058673262,0,8688,793.3333333,2307.031725,5322395.381,0,0,0,0,1,0,0,0,0,850.0,33.88888889,2319.0,272,0,0,0,0,0,0,9,305,5,11595,274,235,3,20,4002.0,0.0,4002,4002,85100000.0,0.0,85100000,85100000,DoS Hulk
21,9246275,9,15,114,188,28,0,12.66666667,10.59481005,34,0,12.53333333,14.54975045,32.66180164,2.595639866,402011.9565,1041147.523,3277656,4,6438033,804754.125,1476732.26,3321751,247,9246194,660442.4286,1284777.126,3277656,4,0,0,0,0,296,488,0.97336495,1.622274916,0,34,12.08,12.93225941,167.2433333,0,0,0,1,0,0,0,0,1,12.58333333,12.66666667,12.53333333,296,0,0,0,0,0,0,9,114,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
